month,rank,char,opp,score
202502,36,RASHID,JURI,5.110
202502,36,RASHID,JAMIE,4.979
202502,36,RASHID,ZANGIEF,5.271
202502,36,RASHID,ED,5.255
202502,36,RASHID,RYU,5.099
202502,36,RASHID,AKUMA,5.146
202502,36,DEE JAY,MAI,4.788
202502,36,DEE JAY,DHALSIM,5.700
202502,36,DEE JAY,E. HONDA,5.012
202502,36,DEE JAY,KIMBERLY,5.125
202502,36,DEE JAY,JP,4.982
202502,36,DEE JAY,RASHID,5.046
202502,36,DEE JAY,A.K.I.,4.929
202502,36,DEE JAY,M. BISON,5.062
202502,36,DEE JAY,BLANKA,5.386
202502,36,DEE JAY,LUKE,4.815
202502,36,DEE JAY,GUILE,4.991
202502,36,DEE JAY,LILY,4.845
202502,36,DEE JAY,MANON,4.869
202502,36,DEE JAY,TERRY,5.034
202502,36,DEE JAY,CHUN-LI,5.022
202502,36,DEE JAY,MARISA,4.681
202502,36,DEE JAY,CAMMY,5.303
202502,36,DEE JAY,KEN,5.153
202502,36,DEE JAY,JURI,5.062
202502,36,DEE JAY,JAMIE,5.277
202502,36,DEE JAY,ZANGIEF,4.719
202502,36,DEE JAY,ED,5.106
202502,36,DEE JAY,RYU,5.096
202502,36,DEE JAY,AKUMA,5.264
202502,36,A.K.I.,MAI,4.917
202502,36,A.K.I.,DHALSIM,4.961
202502,36,A.K.I.,E. HONDA,4.831
202502,36,A.K.I.,KIMBERLY,4.685
202502,36,A.K.I.,JP,4.984
202502,36,A.K.I.,RASHID,5.189
202502,36,A.K.I.,DEE JAY,5.071
202502,36,A.K.I.,M. BISON,4.839
202502,36,A.K.I.,BLANKA,5.142
202502,36,A.K.I.,LUKE,5.071
202502,36,A.K.I.,GUILE,4.811
202502,36,A.K.I.,LILY,5.126
202502,36,A.K.I.,MANON,4.980
202502,36,A.K.I.,TERRY,5.047
202502,36,A.K.I.,CHUN-LI,5.102
202502,36,A.K.I.,MARISA,5.166
202502,36,A.K.I.,CAMMY,4.861
